"Flat's Price, UAH",Square Meters (m²),Address,Kyiv District,Metro Station Nearby,Link
7500,33,"Академіка Доброхотова вулиця, 3",Святошинський,Житомирська,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-svyatoshinskiy-akademika-dobrohotova-ulitsa-19632763.html
6000,49,"Миколи Кибальчича вулиця, 11",Дніпровський,Чернігівська,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-dneprovskiy-nikolaya-kibalchicha-ulitsa-24153599.html
9000,36,"Північна вулиця, 2б",Оболонський,Героїв Дніпра,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-obolonskiy-severnaya-ulitsa-24149302.html
10000,35,"Олександра Олеся вулиця, 4б",Виноградар,N/A,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-vinogradar-aleksandra-olesya-ulitsa-23967330.html
12000,50,"Василя Стуса вулиця, 7",Святошинський,Житомирська,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-svyatoshinskiy-vasiliya-stusa-ulitsa-24014135.html
29963,65,"Саксаганського вулиця, 37к",Голосіївський,N/A,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-23978263.html
16854,60,"Драгомирова вулиця, 16",Печерський,Дружби народів,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-pecherskiy-dragomirova-ulitsa-18867403.html
20599,60,Драгомирова вулиця,Печерський,Дружби народів,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-pecherskiy-dagomiova-lia-18293086.html
15918,30,"Печерський узвіз, 15",N/A,Печерська,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-pecherskiy-uzvoz-24186680.html
22434,51,"Михайла Бойчука (Кіквідзе) вулиця, 41а",Печерський,Дружби народів,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-pecherskiy-mihaila-boychuka-kikvidze-ulitsa-24180764.html
26217,65,"Верхня вулиця, 3",Печерськ,Дружби народів,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-pechersk-verhnyaya-ulitsa-24081792.html
28090,56,"Пилипа Орлика вулиця, 6",Печерський,N/A,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-pylypa-orlika-ulitsa-24108391.html
26217,56,"Паньківська вулиця, 20/82",Голосіївський,Університет,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-goloseevskiy-pankovskaya-ulitsa-24131365.html
22434,55,"Василя Тютюнника (Анрі Барбюса) вулиця, 55/1",Печерський,N/A,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-podolskiy-vasiliya-tyutyunnika-anri-barbyusa-ulitsa-24048543.html
29963,69,"Коновальця Євгена (Щорса) вулиця, 44а",Печерський,Печерська,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-pecherskiy-konovaltsa-evgeniya-schorsa-ulitsa-24095561.html
29963,50,"Героїв Севастополя вулиця, 35",Солом'янський,Шулявська,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-otradnyy-geroev-sevastopolya-ulitsa-23825252.html
16990,45,"Євгена Маланюка вулиця, 101ш",Дніпровський,Лівобережна,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-dneprovskiy-evgeniya-malanyuka-ulitsa-24155139.html
6000,49,"Миколи Кибальчича вулиця, 11",Дніпровський,Чернігівська,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-dneprovskiy-nikolaya-kibalchicha-ulitsa-24154638.html
7000,29,"Тихого Олекси, 22а",Солом'янський,Шулявська,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-solomenskiy-24152953.html
37453,55,"Тарасівська вулиця, 40/52",Шевченківський,N/A,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-shevchenkovskiy-aaovkaya-lia-23726810.html
14000,50,"Чавдар Єлизавети вулиця, 8",Дарницький,Осокорки,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-darnitskiy-chavdar-elizavety-ulitsa-24181549.html
6000,32,"Героїв Сталінграда проспект, 11а",Оболонь,Оболонь,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-obolon-geroev-stalingrada-prospekt-22549648.html
22472,55,"Шота Руставелі вулиця, 44",Голосіївський,Олімпійська,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-shota-rustaveli-ulitsa-24192158.html
9000,20,"Харьковское Шоссе, 19",Дніпровський,Позняки,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-harkovskoe-shosse-16925604.html
1000,150,"проспект Степана Бандеры, 20а",Оболонський,Почайна(Петрівка),https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-obolonskiy-24169201.html
9999,39,"Петра Калнишевського вулиця, 7",Мінський Масив,Мінська,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-minskiy-massiv-petra-kalnyshevskogo-ulitsa-23685496.html
13999,34,"Івана Мазепи вулиця, 12",Печерський,Арсенальна,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-pecherskiy-ivana-mazepy-ulitsa-24197710.html
29963,69,"Коновальця Євгена (Щорса) вулиця, 44а",Печерський,Печерська,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-pecherskiy-konovaltsa-evgeniya-schorsa-ulitsa-24099539.html
10000,40,"Антоновича вулиця, 138",Печерськ,"Палац ""Україна""",https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-pechersk-antonovicha-ulitsa-24192626.html
44944,90,"Василя Тютюнника (Анрі Барбюса) вулиця, 37/1",Печерський,Либідська,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-kiev-pecherskiy-vasiliya-tyutyunnika-anri-barbyusa-ulitsa-24191285.html
